id,claim,source_id,source_quote,notes
C1,"Exports: WLS with exposure and rigidity controls (2016-2017 vs 2018-2019) yields a negative dem_share coefficient (p=0.0126).",18,"exports,""2016,2017"",""2018,2019"",WLS_controls,25,-1.3601917132590275,0.012583770093662225,-2.1872866962283393,0.04963276061276527,-0.0016241487873774106,0.013836766219852316,0.4224172661507388","controls_regressions.csv"
C2,"Panel fixed-effects dem_share x post interaction is not significant for imports or exports.",18,"imports,2018-07-01,2736,-0.12596650749000593,0.6370992389545075,0.9909655776947915; exports,2018-07-01,2736,-1.046623513521232,0.35619955444162665,0.9861819786362016","panel_post_effects.csv"
C3,"Export pre-trend interactions are negative and significant in 2014 and 2017 in the 2012-2017 pretrend event study.",18,"exports,2014,-0.7418224094747601,0.006201383844575012; exports,2017,-1.259170677760332,0.029198454035121404","pretrend_event_study_2012_2017.csv"
C4,"County exposure to tariff-targeted industries is weakly negatively correlated with Democratic vote share (corr = -0.06575).",18,"corr_county_exposure_dem_share = -0.06575028023801831","county_exposure_correlation.csv"
C5,"Imports data by NAICS are available through the Census International Trade Imports (NAICS) time series API.",12,"TODO","Use API documentation"
C6,"Exports data by NAICS are available through the Census International Trade Exports (NAICS) time series API.",13,"TODO","Use API documentation"
C7,"Section 301 tariff lists with import values are available from QuantGov tariff data downloads.",14,"TODO","Use QuantGov download page"
C8,"CBP provides county employment counts used to construct industry employment weights.",16,"TODO","Use CBP dataset"
C9,"County-level presidential returns are available from the MIT Election Lab.",17,"TODO","Use MIT Election Lab dataset"
C10,"Trade-policy theory emphasizes lobbying/special-interest influence on protection (""Protection for Sale"").",6,"TODO","Add quote from source"
C11,"Factor- and industry-based models predict different trade-policy coalitions (class vs industry cleavages).",11,"TODO","Add quote from source"
C12,"Export robustness (WLS pre-value, abs_log_change, 2016-2017 vs 2018-2019) remains negative (coef=-1.264, p=0.0356).",19,"WLS_pre_value,25,-1.2643873976414002,0.03561046884034385,0.17809637219871388,abs_log_change,dem_share_avg_2016_2020,exports,""2016,2017"",""2018,2019"",mean","robustness_regressions.csv"
C13,"Robust regression (Huber RLM) for exports 2016-2017 vs 2018-2019 yields a near-zero coefficient (p=0.728).",19,"RLM_Huber,25,-0.032602271411908905,0.7281463513855552,,abs_log_change,dem_share_avg_2016_2020,exports,""2016,2017"",""2018,2019"",mean","robustness_regressions.csv"
C14,"Leave-one-out export OLS (2016-2017 vs 2018-2019) drops to -0.211 (p=0.335) when NAICS 211 is omitted.",19,"exports,""2016,2017"",""2018,2019"",211,-0.21143893584181264,0.3347880374636095,24","leave_one_out_exports.csv"
C15,"Leave-one-out summary (exports, 2016-2017 vs 2018-2019) shows coefficients remain negative but range from -1.125 to -0.211 (median p=0.085).",19,"""2016,2017"",""2018,2019"",-0.9276630488936164,-1.1247495355604504,-0.21143893584181264,0.08523216831727225,24.0","leave_one_out_exports_summary.csv"
C16,"Leave-one-out summary (exports, 2016-2017 vs 2019) shows coefficients range from -1.438 to -0.408 (median p=0.0408).",19,"""2016,2017"",2019,-1.1963140930654972,-1.4376803517131043,-0.4084706317983483,0.040762738638223286,24.0","leave_one_out_exports_summary.csv"
