dataset,pre,post,left_out,coef,p_value,n
exports,"2016,2017","2018,2019",113,-1.1247495355604504,0.04985542018612649,24
exports,"2016,2017","2018,2019",114,-0.9147534098264283,0.09083386465262086,24
exports,"2016,2017","2018,2019",211,-0.21143893584181264,0.3347880374636095,24
exports,"2016,2017","2018,2019",212,-0.8342990667189693,0.16041733739316957,24
exports,"2016,2017","2018,2019",311,-0.9283613973744038,0.08523216831727225,24
exports,"2016,2017","2018,2019",312,-0.9474490782895396,0.0881205250916047,24
exports,"2016,2017","2018,2019",313,-1.0052445062949764,0.06502560631769047,24
exports,"2016,2017","2018,2019",314,-0.9854482776636038,0.06788930541148364,24
exports,"2016,2017","2018,2019",315,-1.1153371308753715,0.06657793667151711,24
exports,"2016,2017","2018,2019",316,-0.9225628517012417,0.09373643749822043,24
exports,"2016,2017","2018,2019",321,-1.052688950828449,0.054664748262016574,24
exports,"2016,2017","2018,2019",322,-0.9228446420148984,0.08706157871396888,24
exports,"2016,2017","2018,2019",323,-0.9251342485383238,0.08818555876433964,24
exports,"2016,2017","2018,2019",324,-0.9944494057629548,0.06048858684083945,24
exports,"2016,2017","2018,2019",325,-0.9441245250936858,0.08284233906311658,24
exports,"2016,2017","2018,2019",326,-0.9394888848762115,0.081839583211066,24
exports,"2016,2017","2018,2019",327,-0.9322740573250283,0.0833306385171206,24
exports,"2016,2017","2018,2019",331,-0.9272034746259128,0.08519001844814621,24
exports,"2016,2017","2018,2019",332,-0.9288308624580718,0.08538664681194051,24
exports,"2016,2017","2018,2019",333,-0.9290717919382012,0.08529212669845282,24
exports,"2016,2017","2018,2019",334,-0.9534736698149004,0.08988615850717019,24
exports,"2016,2017","2018,2019",335,-0.9277726076391588,0.08791286806901706,24
exports,"2016,2017","2018,2019",336,-0.9304492561722199,0.08398607940947474,24
exports,"2016,2017","2018,2019",337,-0.9682370289820349,0.07376207240936594,24
exports,"2016,2017","2018,2019",339,-0.9258886261235594,0.08987085277383809,24
exports,"2016,2017",2019,113,-1.238229066863914,0.04805170226620041,24
exports,"2016,2017",2019,114,-1.1930568511418924,0.04234012799440746,24
exports,"2016,2017",2019,211,-0.4084706317983483,0.04274769670740294,24
exports,"2016,2017",2019,212,-1.2605471444395997,0.052405002259591535,24
exports,"2016,2017",2019,311,-1.1964044968964729,0.040762738638223286,24
exports,"2016,2017",2019,312,-1.1941944183963735,0.047027703477987126,24
exports,"2016,2017",2019,313,-1.2941448373884223,0.027900381585964775,24
exports,"2016,2017",2019,314,-1.2556522718387306,0.03211469950299883,24
exports,"2016,2017",2019,315,-1.4376803517131043,0.02875050138303099,24
exports,"2016,2017",2019,316,-1.2144099749094899,0.04199110556469679,24
exports,"2016,2017",2019,321,-1.2912666747075565,0.031075810230156743,24
exports,"2016,2017",2019,322,-1.1870519628630907,0.0417297810943142,24
exports,"2016,2017",2019,323,-1.1970094617155649,0.041893733281657325,24
exports,"2016,2017",2019,324,-1.2477939294654863,0.032070645356441684,24
exports,"2016,2017",2019,325,-1.2166801188937915,0.03918142576461974,24
exports,"2016,2017",2019,326,-1.2119524456399904,0.038115469791338175,24
exports,"2016,2017",2019,327,-1.202311281749525,0.038854913970073644,24
exports,"2016,2017",2019,331,-1.1950613817026008,0.04055422126132913,24
exports,"2016,2017",2019,332,-1.19677180164961,0.04091925200265182,24
exports,"2016,2017",2019,333,-1.1983474982539102,0.04042459347220681,24
exports,"2016,2017",2019,334,-1.2371524117060961,0.042267932671697185,24
exports,"2016,2017",2019,335,-1.1941327629388727,0.042696255107751414,24
exports,"2016,2017",2019,336,-1.19857819095433,0.04008926541265117,24
exports,"2016,2017",2019,337,-1.2468665517443305,0.03331092078940576,24
exports,"2016,2017",2019,339,-1.19408580726633,0.043566621307594075,24
