naics3,pre_value,post_value,dem_share_avg_2016_2020,log_change,pct_change,abs_log_change,abs_pct_change,dataset
113,118030043.7857143,125404798.1904762,0.37794667258382,0.06060769013678424,0.06248201024267086,0.06060769013678424,0.06248201024267086,imports
114,863115351.9444444,893970976.1666666,0.5360206485960334,0.03512496345880578,0.035749131506825904,0.03512496345880578,0.035749131506825904,imports
211,8400872554.666666,7524196316.277778,0.3980050535504876,-0.11021157290246464,-0.10435537888286339,0.11021157290246464,0.10435537888286339,imports
212,46885699.47928105,58903919.29787234,0.3503220432995317,0.2281949162013177,0.2563301806748597,0.2281949162013177,0.2563301806748597,imports
311,295520318.778607,341511890.80597013,0.5021685676494811,0.14464490259429752,0.1556291364920268,0.14464490259429752,0.1556291364920268,imports
312,527782076.82222223,602054272.4666667,0.5860761247747622,0.13166412962715768,0.14072511914697383,0.13166412962715768,0.14072511914697383,imports
313,9795157441.183823,10714623444.34804,0.4393182838166458,0.08972136056161517,0.09386944606916825,0.08972136056161517,0.09386944606916825,imports
314,587237729.2361112,649672452.1111112,0.4560377545307784,0.10103858802787613,0.10631933162097096,0.10103858802787613,0.10631933162097096,imports
315,1761267355.9270833,1834081586.8333333,0.6654534055934824,0.040510220071677594,0.04134195223752535,0.040510220071677594,0.04134195223752535,imports
316,1157500364.0,1185335873.1515152,0.5733617684630457,0.02376335023595999,0.024047948508044925,0.02376335023595999,0.024047948508044925,imports
321,295035052.8409091,277231945.27272725,0.4224203251330003,-0.06223966910799916,-0.060342347110130645,0.06223966910799916,0.060342347110130645,imports
322,312788137.53968257,336022445.6825397,0.5159129537331816,0.07165187587305866,0.07428129572180286,0.07165187587305866,0.07428129572180286,imports
323,262503532.47619048,281113700.4285714,0.5390494485762766,0.06849467636036621,0.07089492387714391,0.06849467636036621,0.07089492387714391,imports
324,1528160453.85,2109797352.2333333,0.541594869441496,0.3225272069847094,0.3806124526504895,0.3225272069847094,0.3806124526504895,imports
325,1386704148.8076923,1676605514.5128205,0.5486899845346436,0.18984140669093108,0.20905783396868727,0.18984140669093108,0.20905783396868727,imports
326,779007692.719697,900378044.3181819,0.4825088371443883,0.14479380342719494,0.15580122344460134,0.14479380342719494,0.15580122344460134,imports
327,219580235.57843137,235888480.56862745,0.4965023283603753,0.07164144971472552,0.07427009515330885,0.07164144971472552,0.07427009515330885,imports
331,924092563.1451613,929836118.8709677,0.5048803354097867,0.006196111163241369,0.006215346768140062,0.006196111163241369,0.006215346768140062,imports
332,462931060.11564624,515743464.4013606,0.498529565886642,0.10803133508123963,0.11408265471001466,0.10803133508123963,0.11408265471001466,imports
333,905736052.759887,1087177779.770115,0.4979457043639007,0.18259249349188167,0.20032516808550693,0.18259249349188167,0.20032516808550693,imports
334,3302509947.0726495,3320435206.837607,0.6012632400110499,0.005413091341754495,0.005427768591839133,0.005413091341754495,0.005427768591839133,imports
335,1037119252.8857143,1292769318.4479167,0.5448066506961518,0.2203397552700821,0.24650016365126137,0.2203397552700821,0.24650016365126137,imports
336,2532477400.1033335,2743010966.6666665,0.4991828402386873,0.07985817684959784,0.08313344338423012,0.07985817684959784,0.08313344338423012,imports
337,637407132.2619047,667547657.4761904,0.4596825362541231,0.0462021931561587,0.04728614364155126,0.0462021931561587,0.04728614364155126,imports
339,1535841734.5128207,1630413031.2564104,0.5561162219852294,0.05975478413861168,0.06157619930388747,0.05975478413861168,0.06157619930388747,imports
113,215420048.66666666,173404135.0,0.37794667258382,-0.2169649261782851,-0.19504179822965595,0.2169649261782851,0.19504179822965595,exports
114,466254019.4166667,442303561.5,0.5360206485960334,-0.052734154584808124,-0.05136783152375024,0.052734154584808124,0.05136783152375024,exports
211,2839390545.3333335,7943151636.083333,0.3980050535504876,1.0287206955688895,1.7974847099277205,1.0287206955688895,1.7974847099277205,exports
212,1245399214.4166667,1590406647.1666667,0.3503220432995317,0.2445336037998942,0.27702557441518727,0.2445336037998942,0.27702557441518727,exports
