file,columns,size_bytes
processed\bis232\bis232_erchemicalcomposition.csv.gz,4,1817223
processed\bis232\bis232_erproductclassification.csv.gz,3,42337522
processed\bis232\bis232_erproductdimensions.csv.gz,4,13228965
processed\bis232\bis232_erproductprocessing_processes.csv.gz,4,6426378
processed\bis232\bis232_erproductprocessing_processespercentage.csv.gz,4,4264125
processed\bis232\bis232_erproductstrength.csv.gz,4,5641765
processed\bis232\bis232_ersourcecountries.csv.gz,6,6021285
processed\bis232\bis232_ertoughnessjoules.csv.gz,3,4136683
processed\bis232\bis232_ertoughnessshear.csv.gz,3,3995082
processed\bis232\bis232_ertoughnesstemperature.csv.gz,3,4087303
processed\bis232\bis232_exclusionrequests.csv.gz,114,18883233
processed\bis232\bis232_objectionfilings.csv.gz,75,8046224
processed\bis232\bis232_objectionrebuttals.csv.gz,58,3654856
processed\bis232\bis232_ofchemicalcomposition.csv.gz,4,23590603
processed\bis232\bis232_ofproductdimensions.csv.gz,4,6370239
processed\bis232\bis232_ofproductprocessing_processes.csv.gz,4,3448944
processed\bis232\bis232_ofproductprocessing_processespercentage.csv.gz,4,2162093
processed\bis232\bis232_ofproductstrength.csv.gz,4,2781567
processed\bis232\bis232_ofreasonforobjection_manufacturinglocations.csv.gz,5,1023756
processed\bis232\bis232_ofreasonforobjection_productionlocations.csv.gz,6,206431
processed\bis232\bis232_ofreasonforobjection_productionsubstitutelocations.csv.gz,6,62680
processed\bis232\bis232_ofreasonforobjection_substitutelocations.csv.gz,5,194237
processed\bis232\bis232_oftoughnessjoules.csv.gz,3,4136684
processed\bis232\bis232_oftoughnessshear.csv.gz,3,3995081
processed\bis232\bis232_oftoughnesstemperature.csv.gz,3,4087304
processed\bis232\bis232_surrebuttals.csv.gz,59,611488
processed\census\census_imports_naics_2016_2024.csv.gz,9,786212
processed\census\census_trade_enduse_2016_2024.csv.gz,9,340499
processed\quantgov\quantgov_section232_v1_microdata.csv.gz,95,3163301
processed\quantgov\quantgov_section232_v3_merged.csv.gz,40,4627196
processed\quantgov\quantgov_section301_exclusion_requests.csv.gz,18,1031673
processed\quantgov\quantgov_section301_lists.csv.gz,12,201183
processed\usitc\usitc_hts_2019_2020_combined.csv.gz,10,1031611
processed\usitc\usitc_hts_2019_rev20.csv.gz,10,510921
processed\usitc\usitc_hts_2020_rev18.csv.gz,10,520466
